# fw=nextui workload=menuidle start=2026-09-13 22:27:19 gov=performance max0=2000000 devfreq=none,none backlight=none gpu_pm=/sys/devices/platform/7001000.gpu-power-domain/power/runtime_status
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight,fb_blank,gpu_pm
11146,35805,37145,36542,29500,1416000,3.2,51,3643000,Discharging,4.7,1.4,4.2,2.3,1486,1498,,,,,unsupported
11148,35470,36944,36073,29500,1800000,3.7,51,3643000,Discharging,6.8,4.5,1.8,2.3,1541,1612,,,,,unsupported
11151,36006,37145,36475,29500,1416000,3.3,51,3643000,Discharging,5.1,1.4,1.8,4.1,1036,1129,,,,,unsupported
11153,35537,36810,36475,29500,1608000,3.5,51,3642000,Discharging,5.0,4.1,3.7,1.4,1426,1501,,,,,unsupported
11155,35604,37078,36408,29500,1800000,3.6,51,3639000,Discharging,5.1,2.3,1.9,4.6,1742,1696,,,,,unsupported
11157,36006,36944,36676,29500,1608000,3.5,51,3642000,Discharging,4.1,5.9,2.3,2.3,1456,1553,,,,,unsupported
11159,35872,36944,36743,29500,1608000,3.3,51,3642000,Discharging,3.7,5.0,1.4,4.1,1456,1528,,,,,unsupported
11162,35872,37011,36743,29500,1416000,3.3,51,3643000,Discharging,4.1,4.5,1.9,1.8,1087,1240,,,,,unsupported
11164,35671,36944,36475,29500,1800000,3.2,51,3642000,Discharging,3.7,5.1,2.7,0.9,1413,1518,,,,,unsupported
11166,36006,37547,36341,29500,1416000,3.9,51,3642000,Discharging,6.9,2.3,3.2,3.6,1872,1985,,,,,unsupported
11168,35604,37212,36274,29500,1416000,3.2,51,3632000,Discharging,4.2,3.7,2.3,2.3,1442,1556,,,,,unsupported
11170,35939,37145,36676,29500,1608000,3.8,51,3642000,Discharging,5.0,5.0,2.7,2.3,1496,1596,,,,,unsupported
11173,35604,36944,36408,29500,1608000,3.2,51,3641000,Discharging,5.5,2.7,2.8,2.8,1006,1059,,,,,unsupported
