# fw=nextui workload=menuidle start=2026-09-13 14:02:05 gov=performance
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status
13295,31584,33326,32388,26700,1800000,2,62,3709000,Discharging
13297,31919,33393,32723,26700,1416000,1,62,3720000,Discharging
13299,31718,32723,32321,26600,1608000,2,62,3720000,Discharging
13301,32053,33393,32723,26600,1608000,1,62,3720000,Discharging
13303,32053,32924,32522,26700,1416000,2,62,3719000,Discharging
13305,31651,33125,32589,26700,1416000,2,62,3720000,Discharging
13307,32187,33326,32522,26700,1608000,2,62,3720000,Discharging
13309,32053,33058,32723,26600,1200000,2,62,3720000,Discharging
13311,31919,33326,32723,26600,1416000,2,62,3720000,Discharging
13314,31718,33460,32589,26600,1416000,2,62,3719000,Discharging
13316,32187,33259,32589,26600,1416000,2,62,3719000,Discharging
13318,31986,33058,32723,26700,1416000,2,62,3713000,Discharging
13320,31852,33125,32723,26700,1416000,2,62,3719000,Discharging
13322,31718,33393,32388,26700,1608000,2,62,3719000,Discharging
13324,31919,32991,32656,26700,1416000,2,62,3719000,Discharging
